Date,Open,High,Low,Close,Adj Close,Volume
1990-01-01,38921.648438,38950.769531,38090.511719,38274.761719,38274.761719,0
1990-01-08,38331.628906,38564.230469,37460.289063,37516.769531,37516.769531,0
1990-01-15,37469.410156,37469.410156,36365.171875,36836.539063,36836.539063,0
1990-01-22,36853.109375,37462.839844,36683.269531,36874.070313,36874.070313,0
1990-01-29,36912.511719,37665.058594,36912.511719,37650.148438,37650.148438,0
1990-02-05,37676.839844,37886.691406,37180.808594,37288.140625,37288.140625,0
1990-02-12,37319.531250,37673.500000,37018.250000,37460.320313,37460.320313,0
1990-02-19,37496.031250,37610.519531,34840.980469,34890.968750,34890.968750,0
1990-02-26,34863.078125,34863.078125,32443.179688,34057.558594,34057.558594,0
1990-03-05,34072.488281,34319.808594,32971.421875,33993.121094,33993.121094,0
1990-03-12,33985.460938,34005.699219,32279.539063,32616.439453,32616.439453,0
1990-03-19,32609.269531,32721.439453,28830.369141,30372.160156,30372.160156,0
1990-03-26,30378.160156,32164.359375,29827.640625,29980.449219,29980.449219,0
1990-04-02,29979.960938,29979.960938,27251.039063,29278.779297,29278.779297,0
1990-04-09,29297.730469,30524.189453,28953.500000,29213.919922,29213.919922,0
1990-04-16,29153.009766,30200.490234,28335.929688,29835.439453,29835.439453,0
1990-04-23,29834.449219,29953.410156,29285.089844,29584.800781,29584.800781,0
1990-04-30,29593.580078,30173.640625,29519.250000,30173.640625,30173.640625,0
1990-05-07,30211.550781,31513.130859,30211.550781,31512.140625,31512.140625,0
1990-05-14,31541.949219,32323.300781,31541.949219,32013.720703,32013.720703,0
1990-05-21,31987.359375,32838.890625,31599.699219,32793.878906,32793.878906,0
1990-05-28,32838.800781,33227.941406,32465.349609,32891.121094,32891.121094,0
1990-06-04,32910.761719,33344.921875,32838.988281,32993.289063,32993.289063,0
1990-06-11,32963.968750,32963.968750,32190.519531,32538.400391,32538.400391,0
1990-06-18,32530.310547,32634.349609,31644.519531,31694.570313,31694.570313,0
1990-06-25,31637.710938,32342.980469,31086.339844,31940.240234,31940.240234,0
1990-07-02,31924.029297,32627.380859,31766.080078,32445.119141,32445.119141,0
1990-07-09,32457.570313,32767.859375,32144.130859,32644.369141,32644.369141,0
1990-07-16,32677.859375,33186.800781,32416.769531,32421.519531,32421.519531,0
1990-07-23,32421.119141,32421.119141,30377.949219,30863.480469,30863.480469,0
1990-07-30,30846.490234,31371.529297,29515.759766,29515.759766,29515.759766,0
1990-08-06,29486.119141,29486.119141,27168.230469,27329.550781,27329.550781,0
1990-08-13,27282.130859,28158.849609,25913.759766,26786.720703,26786.720703,0
1990-08-20,26759.660156,26956.140625,23547.269531,24165.759766,24165.759766,0
1990-08-27,24183.439453,26183.439453,24183.439453,25978.369141,25978.369141,0
1990-09-03,26014.130859,26163.490234,23405.710938,23962.070313,23962.070313,0
1990-09-10,23997.230469,25487.800781,23997.230469,24897.460938,24897.460938,0
1990-09-17,24888.669922,24888.669922,23049.990234,23777.830078,23777.830078,0
1990-09-24,23762.029297,23762.029297,20671.009766,20983.500000,20983.500000,0
1990-10-01,20986.070313,23462.890625,19781.699219,22827.650391,22827.650391,0
1990-10-08,22857.589844,23971.439453,22131.830078,22390.160156,22390.160156,0
1990-10-15,22404.089844,25003.169922,22404.089844,24481.490234,24481.490234,0
1990-10-22,24489.509766,25485.849609,24489.509766,25005.640625,25005.640625,0
1990-10-29,25004.359375,25444.919922,23671.980469,24194.990234,24194.990234,0
