Direction,JPY,SP500
1,-0.003967350896932918,0.012664653938667631
1,-0.012152126163035739,-0.044386409332357164
1,-0.01073606079990436,-0.0026885858735175823
-1,0.001094434130504699,-0.017327900519328678
1,-0.002346684431110635,0.047751905295705235
1,-0.026264055760846575,-0.02079139628200165
-1,-0.0020119921478868093,-0.01550960097914232
-1,-0.0006446933900464346,-0.037824294500581467
-1,0.008188870423005212,-0.019914171473814614
-1,-0.012632424492783232,-0.0181631058761122
1,-0.025089452454498826,0.0006872215903327832
1,-0.0029935162883265145,-0.0007984213331931362
-1,-0.021379486140702078,-0.07084127848172178
-1,-0.01172406565912094,-0.08329763466721811
-1,0.007973635078288247,0.005986207279983382
1,0.020455450780835494,0.013278508152138253
1,0.009741553245299373,0.050098496199440797
-1,-0.02381264524766642,0.02191215901697777
1,0.010046941702641823,0.01293318302384601
-1,-0.0032815882030091817,-0.026701546068492038
-1,-0.005578107769944822,-0.02447652191616545
1,0.019139340210697506,-0.004608312151799924
1,0.01575615189909565,-0.051209877455789664
1,0.007420427900583473,-0.021546087917250028
-1,-0.0027660284475744235,-0.03291550295164821
-1,0.009970495599143514,0.042478407131608525
1,0.006752437232123518,0.05708326543075176
-1,-0.0020048926078956525,0.014882105273967064
-1,-0.01422936127570855,0.003680621871390253
1,-0.010806490755642075,-0.006927723823688541
-1,-0.011007766850826137,0.016724625456116787
1,0.016916688434084518,0.022518008737238616
1,0.0004908377061896085,0.006170819794889725
-1,0.01807400174866365,-0.026054486752075733
-1,-0.013911579905412053,-0.02525512951100374
